Ticker,NCTId,ResultsFirstPostDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
AXDX,NCT01227577,"February 8, 2016",November 2014,145.00,148.10,0.53
AXDX,NCT00574873,"November 4, 2012","May 27, 2015",38.80,37.70,-0.72
AXDX,NCT00333840,"October 14, 2013",March 2012,156.60,154.10,-0.40
AXDX,NCT03128411,"November 24, 2020","March 4, 2021",82.30,81.20,-0.34
AXDX,NCT00509093,"March 4, 2020","April 9, 2015",132.60,123.40,-1.80
AXDX,NCT03889418,"December 12, 2023","June 30, 2023",4.46,4.61,0.83
AXDX,NCT03389477,"March 9, 2023","April 6, 2027",5.10,5.40,1.43
AXDX,NCT02095678,"January 11, 2021","December 3, 2019",87.80,91.00,0.89
AXDX,NCT01275196,"December 9, 2015",October 2014,206.00,214.30,0.99
AXDX,NCT01367119,"August 6, 2013",March 2012,77.00,75.10,-0.62
AXDX,NCT01357655,"March 14, 2017",January 2016,221.50,232.00,1.16
AXDX,NCT02093793,"July 8, 2020","August 29, 2019",174.20,166.60,-1.12
AXDX,NCT03065400,"June 21, 2021","May 28, 2020",85.70,80.60,-1.53
AXDX,NCT03956082,"November 17, 2022","April 14, 2021",9.20,9.50,0.80
AXDX,NCT01848145,"June 6, 2017",March 2017,269.00,272.00,0.28
AXDX,NCT00512902,"October 27, 2014",December 2008,228.90,212.70,-1.83
AXDX,NCT00673114,"December 24, 2013",April 2012,137.80,139.00,0.22
AXDX,NCT04508751,"August 30, 2023","May 18, 2022",7.04,7.05,0.04
AXDX,NCT03601117,"August 10, 2021","June 1, 2020",66.90,59.70,-2.84
AXDX,NCT02900170,"June 24, 2020","June 11, 2018",117.80,142.20,4.69
AXDX,NCT00449761,"July 14, 2021","August 26, 2008",67.10,65.30,-0.68
AXDX,NCT01325207,"May 28, 2019","January 20, 2019",190.20,189.10,-0.15
AXDX,NCT00089011,"May 22, 2017",July 2018,289.00,290.00,0.09
AXDX,NCT00609986,"August 7, 2013",October 2010,77.00,75.10,-0.62
AXDX,NCT00109707,"June 29, 2021",September 2012,80.60,79.50,-0.34
AXDX,NCT02546674,"July 22, 2022","March 25, 2021",15.70,17.00,1.99
AXDX,NCT02159521,"February 18, 2020","November 30, 2017",163.80,161.30,-0.38
AXDX,NCT03086317,"March 10, 2022","December 8, 2020",16.70,19.00,3.22
AXDX,NCT01698905,"January 13, 2021","January 31, 2025",86.30,92.30,1.68
AXDX,NCT02186600,"June 27, 2023","June 1, 2019",7.20,8.10,2.94
ACRX,NCT01660763,"February 3, 2014",May 2013,217.00,232.40,1.71
ACHV,NCT00327340,"August 29, 2012",October 2010,31174.00,30118.00,-0.86
ACHV,NCT00138658,"January 10, 2012",March 2010,27522.00,27456.00,-0.06
ACHV,NCT03509948,"September 12, 2019","June 12, 2018",45.80,43.20,-1.46
ACHV,NCT03848208,"September 17, 2020","September 12, 2019",9.28,8.93,-0.96
ACHV,NCT03303911,"October 21, 2019","October 5, 2018",29.00,25.60,-3.11
ACHV,NCT03268343,"February 7, 2019","September 1, 2017",32.60,35.00,1.78
ACHV,NCT03709823,"May 18, 2020","April 23, 2019",7.60,7.80,0.65
ACHV,NCT01844817,"May 16, 2017",March 2016,770.00,770.00,0.00
ACHV,NCT01780545,"November 14, 2017",October 2017,266.00,278.00,1.10
ACHV,NCT01681433,"October 18, 2018","June 21, 2017",47.20,44.20,-1.64
ACHV,NCT03634085,"June 17, 2020","August 28, 2018",8.60,8.20,-1.19
ACHV,NCT04388176,"May 18, 2023","December 14, 2020",8.15,6.02,-7.52
ACHV,NCT02297698,"December 12, 2023",December 2021,3.32,3.18,-1.08
ACHV,NCT02737826,"April 13, 2021","January 13, 2021",10.49,9.93,-1.37
ACRS,NCT02669862,"December 7, 2018","September 16, 2016",6.15,6.27,0.48
ACRS,NCT02667288,"November 17, 2017",October 2016,22.82,23.12,0.33
ACRS,NCT02667275,"November 13, 2017",October 2016,22.82,23.12,0.33
ACRS,NCT02667236,"November 13, 2017",October 2016,22.82,23.12,0.33
ACRS,NCT03487588,"October 2, 2019","November 14, 2018",1.02,1.13,2.56
ACRS,NCT04524858,"September 21, 2023","February 25, 2021",6.56,6.66,0.38
ACRS,NCT03812510,"November 23, 2020","December 20, 2019",3.12,3.31,1.48
ACRS,NCT03585296,"February 6, 2020","April 25, 2019",1.27,1.38,2.08
ACRS,NCT03691831,"October 5, 2020","July 9, 2019",4.05,4.00,-0.31
ACRS,NCT03594227,"September 16, 2020","June 18, 2019",2.39,2.53,1.42
ACRS,NCT04247815,"March 29, 2023","February 4, 2021",8.25,8.09,-0.49
ACRS,NCT02260180,"December 6, 2018",March 2015,8.18,8.18,0.00
ACRS,NCT03148691,"May 6, 2019","April 3, 2018",5.70,5.80,0.43
ACRS,NCT03495817,"December 9, 2020","October 30, 2019",3.69,3.93,1.57
ACRS,NCT03380390,"June 28, 2019","June 15, 2018",2.43,2.47,0.41
ACRS,NCT03759340,"September 17, 2020","September 11, 2019",2.49,2.36,-1.34
ACRS,NCT03224598,"March 17, 2020","January 8, 2019",0.75,0.90,4.55
ACRS,NCT03468855,"November 30, 2020","October 16, 2019",4.10,3.69,-2.63
ACRS,NCT03315689,"July 2, 2020","June 20, 2019",1.68,1.74,0.88
ACRS,NCT03687372,"October 5, 2020","September 6, 2019",4.05,4.00,-0.31
ACRS,NCT03551821,"December 11, 2019","November 6, 2018",1.81,1.88,0.95
ACRS,NCT03210337,"May 1, 2019","March 16, 2018",6.13,6.34,0.84
ACRS,NCT01986920,"December 11, 2018","February 25, 2014",8.18,7.31,-2.81
ACRS,NCT04598269,"September 28, 2023","April 22, 2021",6.49,6.02,-1.88
ACRS,NCT02160626,"December 7, 2018",December 2014,6.15,6.27,0.48
ACOR,NCT00648908,"February 27, 2012",April 2011,3184.80,3056.40,-1.03
ACOR,NCT00654927,"February 29, 2012",April 2011,3139.20,3189.60,0.40
ACOR,NCT01605825,"March 10, 2014",March 2013,4519.20,4731.60,1.15
ACOR,NCT02422940,"August 8, 2018",January 2017,3192.00,3228.00,0.28
ACOR,NCT01750684,"June 13, 2016",May 2015,3037.20,3032.40,-0.04
ACOR,NCT00649792,"February 27, 2012",April 2011,3184.80,3056.40,-1.03
ACOR,NCT01258387,"July 1, 2014",March 2013,4092.00,4077.60,-0.09
ACOR,NCT02242487,"July 30, 2019",May 2018,831.60,372.00,-19.09
ACOR,NCT02352363,"July 10, 2018",May 2017,3534.00,3576.00,0.30
ACOR,NCT01683838,"February 5, 2014",February 2004,3430.80,3624.00,1.37
ACOR,NCT01468350,"June 24, 2014",March 2013,4032.00,4066.80,0.21
